Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,sparsity,fidelity,exceptionality,uncertainty,num_cfs,Value,Found
1153,"[16.0, 23.0, 2.0, 2.0, 1.0, 0.0, 2.0]","[15.0, 23.0, 2.0, 2.0, 1.0, 0.0, 2.0]","Agent: 16.0 Monster: 23.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","Agent: 15.0 Monster: 23.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","[1, 1, 1]","[2, 2, 5]",1.0,0.09441280256335934,0.7333333333333334,0.6,False,0,1
1153,"[16.0, 23.0, 2.0, 2.0, 1.0, 0.0, 2.0]","[11.0, 23.0, 2.0, 2.0, 1.0, 0.0, 2.0]","Agent: 16.0 Monster: 23.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","Agent: 11.0 Monster: 23.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","[1, 1, 1]","[3, 4, 5]",1.0,0.07327247383849074,1.0,0.1,False,0,1
1166,"[5.0, 8.0, 1.0, 0.0, 1.0, 2.0, 2.0]","[6.0, 8.0, 1.0, 0.0, 1.0, 2.0, 2.0]","Agent: 5.0 Monster: 8.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 2}]","Agent: 6.0 Monster: 8.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 2}]","[3, 3, 3]","[2, 0, 4]",1.0,0.08818585922320683,1.0,0.5,False,0,1
1166,"[5.0, 8.0, 1.0, 0.0, 1.0, 2.0, 2.0]","[6.0, 8.0, 1.0, 0.0, 1.0, 2.0, 2.0]","Agent: 5.0 Monster: 8.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 2}]","Agent: 6.0 Monster: 8.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 2}]","[3, 3, 3]","[0, 2, 0]",1.0,0.08346724261840184,1.0,0.5,False,0,1
1166,"[5.0, 8.0, 1.0, 0.0, 1.0, 2.0, 2.0]","[6.0, 8.0, 1.0, 0.0, 1.0, 2.0, 2.0]","Agent: 5.0 Monster: 8.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 2}]","Agent: 6.0 Monster: 8.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 2}]","[3, 3, 3]","[0, 0, 4]",1.0,0.3136613393823306,0.9,0.3,False,0,1
1170,"[11.0, 13.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[5.0, 13.0, 1.0, 2.0, 2.0, 2.0, 2.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 5.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","[0, 1, 1]","[0, 2, 3]",1.0,0.10185588399569194,0.37816091954022996,1.0,False,0,1
1170,"[11.0, 13.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[5.0, 13.0, 1.0, 2.0, 2.0, 2.0, 2.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 5.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","[0, 1, 1]","[4, 1, 2]",1.0,0.19110587735970816,1.0,0.2,False,0,1
1170,"[11.0, 13.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[1.0, 13.0, 1.0, 2.0, 2.0, 2.0, 2.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 1.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","[0, 1, 1]","[3, 3, 3]",1.0,0.07324820011854172,0.7000000000000001,1.0,False,0,1
1170,"[11.0, 13.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[1.0, 13.0, 1.0, 2.0, 2.0, 2.0, 2.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 1.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","[0, 1, 1]","[0, 0, -1]",0.6666666666666666,0.24025507271289825,1.0,0.1,False,0,1
1170,"[11.0, 13.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[0.0, 13.0, 1.0, 2.0, 2.0, 2.0, 2.0]","Agent: 11.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 0.0 Monster: 13.0 Trees: [{2: 1}, {7: 2}, {12: 2}, {17: 2}, {22: 2}]","[0, 1, 1]","[2, 3, 3]",1.0,0.055414012322823204,0.6781609195402298,1.0,False,0,1
